Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/05  19:00:00,7.908333333333334,8.41214245480858,11.919487006060493,11.866083453149331,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  20:00:00,7.408333333333334,7.9623344992234419,11.622473601656536,11.444459519692148,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  21:00:00,6.8500000000000009,7.497961764754458,11.32062602430076,11.074703700283108,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  22:00:00,6.25,6.989165650355851,11.006053954103236,10.71457089208449,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  23:00:00,5.591666666666666,6.445578175382754,10.675406242251393,10.344037877179444,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  24:00:00,4.891666666666666,5.843293467687649,10.334631588222008,9.96027532050572,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  01:00:00,4.191666666666666,5.152637533379155,9.85892300649275,9.477247000192584,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  02:00:00,3.5500000000000004,4.401120701688608,9.070550691329114,8.762831937472653,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  03:00:00,2.9500000000000008,3.716992214134106,8.382611061835944,8.11287351892296,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  04:00:00,2.4083333333333338,3.0568356969439209,8.026466639931352,7.706290169670079,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  05:00:00,1.9083333333333333,2.461015277645332,7.720051036409136,7.359179996584832,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  06:00:00,1.5250000000000002,1.9318077942643258,7.454493277351255,7.0563965978199099,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  07:00:00,1.2833333333333335,19.780494142013386,20.97339344240078,20.41649197032068,1.794782448607944,0.9097490832268086,1.68229934911251,0.6825555997163949,1.7700602237696342,0.8778655667222833 
 01/06  08:00:00,1.2,21.951850736238755,22.00056314561081,22.000436916558674,1.7128147365742326,0.7866966902014339,1.3991484568019364,0.41480634521264428,1.5555848469948817,0.5673279411845255 
